LOINC_NUM,LOINC_LONG_COMMON_NAME,IEEE_CF_CODE10,IEEE_REFID,IEEE_DESCRIPTION,IEEE_DIM,IEEE_UOM_UCUM
11556-8,Oxygen [Partial pressure] in Blood,160116,MDC_CONC_PO2_GEN,,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
11557-6,Carbon dioxide [Partial pressure] in Blood,160064,MDC_CONC_PCO2_GEN,,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
11558-4,pH of Blood,160004,MDC_CONC_PH_GEN,,[pH],[pH]
12961-9,Urea nitrogen [Mass/volume] in Arterial blood,160080,MDC_CONC_UREA_ART,,ML-3,mg/dL
14749-6,Glucose [Moles/volume] in Serum or Plasma,160196,MDC_CONC_GLU_VENOUS_PLASMA,Plasma glucose concentration taken from venous,NL-3  ,mmol/L
14749-6,Glucose [Moles/volume] in Serum or Plasma,160368,MDC_CONC_GLU_UNDETERMINED_PLASMA,Plasma glucose concentration taken from undetermined sample source,NL-3  ,mmol/L
15074-8,Glucose [Moles/volume] in Blood,160020,MDC_CONC_GLU_GEN,,NL-3,mmol/L
15074-8,Glucose [Moles/volume] in Blood,160364,MDC_CONC_GLU_UNDETERMINED_WHOLEBLOOD,Whole blood glucose concentration taken from undetermined sample source,NL-3  ,mmol/L
17861-6,Calcium [Mass/volume] in Serum or Plasma,160024,MDC_CONC_CA_GEN,,ML-3,mg/dL
19153-6,Volume in Urine collected for unspecified duration,157744,MDC_VOL_URINE_COL,"Urine collected in bag (comment: site attribute according to table ""Miscellaneous body sites..."" optional)",L3 ,mL L
1925-7,Base excess in Arterial blood by calculation,160252,MDC_BASE_EXCESS_BLD_ART,Base excess of arterial blood,NL-3 NL-3,mmol/L meq/L
1959-6,Bicarbonate [Moles/volume] in Blood,160008,MDC_CONC_HCO3_GEN,,NL-3 NL-3,mmol/L meq/L
1960-4,Bicarbonate [Moles/volume] in Arterial blood,159760,MDC_CONC_HCO3_ART,,NL-3,mmol/L
19834-1,Breath rate setting Ventilator,16928802,MDC_VENT_RESP_RATE_SETTING,"Displayed minimum and/or actual ventilator rate setting, may be mode dependent.",T-1,/min 1/min {breath}/min {breaths}/min {resp}/min
19867-1,Vital capacity [Volume] Respiratory system,151680,MDC_CAPAC_VITAL,Difference in volume between maximum inspiration and maximum expiration,L3 ,mL L
19930-7,Gas flow Respiratory system airway,151764,MDC_FLOW_AWAY,Gas flow in airway,L3T-1 ,mL/min L/min
19974-5,Inspiration/Expiration setting Ventilator,16929048,MDC_RATIO_IE_SETTING,,1,{unitless} 1
19991-9,Alveolar-arterial oxygen Partial pressure difference,150336,MDC_SAT_DIFF_O2_ART_ALV,,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
2000-8,Calcium [Moles/volume] in Serum or Plasma,160024,MDC_CONC_CA_GEN,,NL-3,mmol/L
