Group,REFID,Synonym,CF_CODE10,Standard_Table,Systematic Name,Common Term,Acronym,Term Description,DIM,UOM_MDC,UOM_UCUM,CF_UCODE10,Enum_Values,External_sites,Vendor_VMD,Vendor_Description
CVS_HEMO_CALC,MDC_ACCELERATION_INDEX,,150612,"A.7.3.1","Acceleration, initial | BloodFlow | Flow | Aorta, CVS","Acceleration Index","ACI","Initial acceleration of blood flow in the aorta, which occurs within the first 10 to 20 milliseconds","T-2","MDC_DIM_PER_HECTO_SEC_SQ","/(100.s2)",270210,,,"MDC_DEV_CALC_HEMO_VMD {GE}","Acceleration Index {GE}"
RESP_RR_ACOUSTIC,MDC_ACOUSTIC_RESP_RATE,,151650,"A.7.4.8","Rate | Acoustic | Breath | Breathing","Acoustic Respiration Rate","RR-a","Rate of breathing; method: acoustic.","T-1","MDC_DIM_RESP_PER_MIN","/min 1/min {breath}/min {breaths}/min {resp}/min",264928,,,,""
DS-IP-SYR DS-IP-PCA DS-IP-LVP DS-IP,MDC_AMOUNT_DRUG_REMAIN_CONTAINER,,158013,"A.7.7.1","","","","","MM-1 MM-1 MM-1 MM-1 L3 M M M M ML-2 ML-2 ML-2 ML-2 ML-2 L3M-1 N N N N NM-1 NM-1 NL-2 NL-2 NM-1 NM-1 NL-2 NL-2 [iU] [iU] [iU] [iU]M-1 [iU]M-1 [iU]M-1 [iU]L-2 [iU]L-2 [iU]L-2 [iU] [iU]M-1 (arb’U) arb.u  arb.u  arb.u [arb.u]M-1 [arb.u]L-2 [arb.u] [arb.u]M-1 [arb.u] [arb.u]M-1 [arb.u]L-2","MDC_DIM_X_G_PER_KG MDC_DIM_MILLI_G_PER_KG MDC_DIM_MICRO_G_PER_KG MDC_DIM_NANO_G_PER_KG MDC_DIM_MILLI_L MDC_DIM_X_G MDC_DIM_MILLI_G MDC_DIM_MICRO_G MDC_DIM_NANO_G MDC_DIM_X_G_PER_M_SQ MDC_DIM_KILO_G_PER_M_SQ MDC_DIM_MILLI_G_PER_M_SQ MDC_DIM_MICRO_G_PER_M_SQ MDC_DIM_NANO_G_PER_M_SQ MDC_DIM_MILLI_L_PER_KG MDC_DIM_X_MOLE MDC_DIM_MILLI_MOLE MDC_DIM_X_EQUIV MDC_DIM_MILLI_EQUIV MDC_DIM_X_MOLE_PER_KG MDC_DIM_MILLI_MOLE_PER_KG MDC_DIM_X_MOLE_PER_M_SQ MDC_DIM_MILLI_MOLE_PER_M_SQ MDC_DIM_X_EQUIV_PER_KG MDC_DIM_MILLI_EQUIV_PER_KG MDC_DIM_X_EQUIV_PER_M_SQ MDC_DIM_MILLI_EQUIV_PER_M_SQ MDC_DIM_X_INTL_UNIT MDC_DIM_MILLI_INTL_UNIT MDC_DIM_MEGA_INTL_UNIT MDC_DIM_X_INTL_UNIT_PER_KG MDC_DIM_MILLI_INTL_UNIT_PER_KG MDC_DIM_MEGA_INTL_UNIT_PER_KG MDC_DIM_X_INTL_UNIT_PER_M_SQ MDC_DIM_MILLI_INTL_UNIT_PER_M_SQ MDC_DIM_MEGA_INTL_UNIT_PER_M_SQ MDC_DIM_KILO_INTL_UNIT MDC_DIM_KILO_INTL_UNIT_PER_KG MDC_DIM_X_ARB_UNIT MDC_DIM_X_ARB_UNIT_PER_KG MDC_DIM_X_ARB_UNIT_PER_M_SQ MDC_DIM_MEGA_ARB_UNIT MDC_DIM_MEGA_ARB_UNIT_PER_KG MDC_DIM_MEGA_ARB_UNIT_PER_M_SQ MDC_DIM_KILO_ARB_UNIT MDC_DIM_KILO_ARB_UNIT_PER_KG MDC_DIM_MILLI_ARB_UNIT MDC_DIM_MILLI_ARB_UNIT_PER_KG MDC_DIM_MILLI_ARB_UNIT_PER_M_SQ","g/kg mg/kg ug/kg ng/kg mL g mg ug ng g/m2 kg/m2 mg/m2 ug/m2 ng/m2 mL/kg mol mmol eq meq mol/kg mmol/kg mol/m2 mmol/m2 eq/kg meq/kg eq/m2 meq/m2 [iU] m[iU] M[iU] [iU]/kg m[iU]/kg M[iU]/kg [iU]/m2 m[iU]/m2 M[iU]/m2 k[iU] k[iU]/kg [arb'U] [arb'U]/kg [arb'U]/m2 M[arb'U] M[arb'U]/kg M[arb'U]/m2 k[arb'U] k[arb'U]/kg m[arb'U] m[arb'U]/kg m[arb'U]/m2",262976 262994 262995 262996 263762 263872 263890 263891 263892 269888 269891 269906 269907 269908 265330 266688 266706 266720 266738 267072 267090 269696 269714 269728 269746 269760 269778 267616 267634 267620 269824 269842 269828 269856 269874 269860 267619 269827 271200 271488 271520 271204 271492 271524 271203 271491 271218 271506 271538,,,"Primary Infusate Source {IHE PCD Infusion Pump Work Group }","The amount of drug remaining (allows for non-mass measures) {IHE PCD Infusion Pump Work Group }"
BODY,MDC_AREA_BODY_SURF_ACTUAL,,188744,,"Area | Actual | BodySurface | Body","Patient body surface area","","The actual body surface area of the patient, calculated from patient actual weight and patient actual length.","L2","MDC_DIM_SQ_M","m2",263616,,,"MDC_DEV_CALC_CARD_VMD {GE} MDC_DEV_CALC_PULM_VMD {GE}","Body Surface Area {GE}"
DS-GEN-REL_1.0,MDC_ATTR_ALARM_INACTIVATION_STATE,,68483,"A.11.1.1 ",,,,"Indicates whether visual or aural indications at the patient care device are inactivated","","MDC_DIM_NOS","{unknown}",262144,,,"MDC_DEV_MDS {IHE PCD Infusion Pump Work Group }","Indicates whether visual or aural indications at the patient care device are inactivated {IHE PCD Infusion Pump Work Group }"
DS-GEN-REL_1.0,MDC_ATTR_ALARM_PRIORITY,,68484,"A.11.1.1 ",,,,"Alert priority","","MDC_DIM_NOS","{unknown}",262144,,,"MDC_DEV_MDS {IHE PCD Infusion Pump Work Group }","Alert priority. {IHE PCD Infusion Pump Work Group }"
DS-GEN-REL_1.0,MDC_ATTR_ALARM_STATE,,68482,"A.11.1.1 ",,,,"Indicates the state of the underlying alert condition at the patient care device","","MDC_DIM_NOS","{unknown}",262144,,,"MDC_DEV_MDS {IHE PCD Infusion Pump Work Group }","Indicates the state of the underlying alert condition at the patient care device {IHE PCD Infusion Pump Work Group }"
DS-GEN-REL_1.0,MDC_ATTR_ALERT_SOURCE,,68480,"A.11.1.1 ",,,,"Identifies the physiological measurement or technical source responsible for the alert","","MDC_DIM_NOS","{unknown}",262144,,,"MDC_DEV_MDS {IHE PCD Infusion Pump Work Group }","Identifies the physiological measurement or technical source responsible for the alert {IHE PCD Infusion Pump Work Group }"
DS-GEN-REL_1.0,MDC_ATTR_ALERT_TYPE,,68485,"A.11.1.1 ",,,,"Alert type","","MDC_DIM_NOS","{unknown}",262144,,,"MDC_DEV_MDS {IHE PCD Infusion Pump Work Group }","Alert type {IHE PCD Infusion Pump Work Group }"
INFUS,MDC_ATTR_AL_COND,,68012,,"","","","","",,"",,"MDC_EVT_STANDBY_WARN MDC_EVT_EMPTY MDC_EVT_FLUID_LINE_OCCL MDC_EVT_FLUID_LINE_AIR MDC_EVT_DOOR_POSN_ERR MDC_EVT_ADVIS_SETTINGS_CHK MDC_EVT_MALF MDC_EVT_POSN_PROB MDC_EVT_BATT_LO MDC_EVT_FLOW_LO MDC_EVT_IDLE MDC_EVT_CALLBACK MDC_EVT_VOL_INFUS_COMP MDC_EVT_VOL_INFUS_NEAR_COMP MDC_EVT_BATT_DEPL MDC_EVT_BATT_SERV MDC_EVT_EMER_STOP MDC_EVT_PWR_LOSS MDC_EVT_CHECK_IV_SET MDC_EVT_SYRINGE_PATIENT_PRESSURE MDC_EVT_SYRINGE_PLUNGER_POSITION MDC_EVT_SYRINGE_FLANGE_POSITION MDC_EVT_SYRINGE_BARREL_CAPTURE MDC_EVT_SYRINGE_PRESSURE_DISC_POSITION MDC_EVT_SYRINGE_END_OF_TRAVEL MDC_EVT_SYRINGE_EMPTY MDC_EVT_PCA_DOOR_UNLOCKED MDC_EVT_PCA_HANDSET_DETACHED MDC_EVT_PCA_MAX_LIMIT MDC_EVT_PCA_PAUSED MDC_EVT_UNKNOWN MDC_EVT_DELAY_IMPOSSIBLE MDC_EVT_PUMP_CHAMBER_BLOCKED MDC_EVT_ADVIS_MAINT_NEEDED MDC_EVT_FLUID_LINE_OCCL_PROXIMAL MDC_EVT_FLUID_LINE_OCCL_DISTAL MDC_EVT_FLUID_LINE_AIR_PROXIMAL MDC_EVT_FLUID_LINE_AIR_DISTAL",,"MDC_DEV_PUMP_INFUS_MDS {BBraun_PL}","Alarm Condition {BBraun_PL}"
