_ENUM_GROUPS,TOKEN,REFID,NUM_VALUE,EPART,ECODE10,CF_ECODE10,ApplicationDescription,Tags
_BOOL," TRUE",,,,,,"","IP_NA_CAT_15"
_BOOL," FALSE",,,,,,"","IP_NA_CAT_15"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_PUMP_GENERAL _MDC_ATTR_AL_COND_DELIVERY," ","MDC_EVT_STANDBY_WARN",,"3","61440","258048","Pump on Hold","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_DELIVERY," ","MDC_EVT_EMPTY",,"3","26","196634","Bag Empty","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_DELIVERY," ","MDC_EVT_FLUID_LINE_OCCL",,"3","332","196940","Occlusion","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_DELIVERY," ","MDC_EVT_FLUID_LINE_AIR",,"3","592","197200","Air in Line","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_DELIVERY," ","MDC_EVT_DOOR_POSN_ERR",,"3","476","197084","Door Open","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_DELIVERY," ","MDC_EVT_ADVIS_SETTINGS_CHK",,"3","6668","203276","Programming Error","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_PUMP_GENERAL _MDC_ATTR_AL_COND_DELIVERY," ","MDC_EVT_MALF",,"3","70","196678","Device Malfunction","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_DELIVERY," ","MDC_EVT_POSN_PROB",,"3","160","196768","Set Loading Error","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_PUMP_GENERAL," ","MDC_EVT_BATT_LO",,"3","194","196802","Low Battery","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_PUMP_GENERAL," ","MDC_EVT_FLOW_LO",,"3","342","196950","Low Flow","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_DELIVERY," ","MDC_EVT_IDLE",,"3","720","197328","Pump Idle","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_DELIVERY," ","MDC_EVT_CALLBACK",,"3","722","197330","Callback","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_DELIVERY," ","MDC_EVT_VOL_INFUS_COMP",,"3","724","197332","VTBI Complete","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_DELIVERY," ","MDC_EVT_VOL_INFUS_NEAR_COMP",,"3","726","197334","VTBI Near Completion","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_PUMP_GENERAL," ","MDC_EVT_BATT_DEPL",,"3","728","197336","Depleted Battery","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_PUMP_GENERAL," ","MDC_EVT_BATT_SERV",,"3","730","197338","Service Battery"," ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_PUMP_GENERAL _MDC_ATTR_AL_COND_DELIVERY," ","MDC_EVT_EMER_STOP",,"3","732","197340","Emergency Stop","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_PUMP_GENERAL," ","MDC_EVT_PWR_LOSS",,"3","734","197342","Power Loss","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_DELIVERY," ","MDC_EVT_CHECK_IV_SET",,"3","738","197346","","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_PUMP_SYR," ","MDC_EVT_SYRINGE_PATIENT_PRESSURE",,"3","604","197212","IV Fluid pressure is too high.","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_PUMP_SYR," ","MDC_EVT_SYRINGE_PLUNGER_POSITION",,"3","606","197214","Plunger out of position.","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_PUMP_SYR," ","MDC_EVT_SYRINGE_FLANGE_POSITION",,"3","608","197216","Flange out of position.","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_PUMP_SYR," ","MDC_EVT_SYRINGE_BARREL_CAPTURE",,"3","610","197218","","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND," ","MDC_EVT_SYRINGE_PRESSURE_DISC_POSITION",,"3","612","197220","Pressure disc out of position.","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND_DELETED," ","MDC_EVT_SYRINGE_NUT_ENGAGED",,"3","614","197222","",
_MDC_ATTR_AL_COND," ","MDC_EVT_SYRINGE_END_OF_TRAVEL",,"3","616","197224","End of plunger travel.","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND," ","MDC_EVT_SYRINGE_EMPTY",,"3","618","197226","Syringe is empty.","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_PUMP_PCA," ","MDC_EVT_PCA_DOOR_UNLOCKED",,"3","650","197258","Door is unlocked.","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_PUMP_PCA," ","MDC_EVT_PCA_HANDSET_DETACHED",,"3","652","197260","Handset is detached from unit.","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_PUMP_PCA," ","MDC_EVT_PCA_MAX_LIMIT",,"3","654","197262","","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_PUMP_PCA," ","MDC_EVT_PCA_PAUSED",,"3","656","197264","","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_PUMP_GENERAL _MDC_ATTR_AL_COND_DELIVERY," ","MDC_EVT_UNKNOWN",,"3","740","197348","Device is Alarming.","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_DELIVERY," ","MDC_EVT_DELAY_IMPOSSIBLE",,"3","742","197350","Programed start delay will not be reached.","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_DELIVERY," ","MDC_EVT_PUMP_CHAMBER_BLOCKED",,"3","744","197352","Blockage in the pump chamber.","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND_DELETED _MDC_ATTR_AL_COND_PUMP_SYR," ","MDC_EVT_SYRINGE_PATIENT_PRESSURE_ALARM",,"3","620","197228","",
_MDC_ATTR_AL_COND_DELETED," ","MDC_EVT_SYRINGE_PLUNGER",,"3","622","197230","",
_MDC_ATTR_AL_COND_DELETED," ","MDC_EVT_SYRINGE_FLANGE",,"3","624","197232","",
_MDC_ATTR_AL_COND_DELETED," ","MDC_EVT_SYRINGE_LEVER",,"3","626","197234","",
_MDC_ATTR_AL_COND_DELETED," ","MDC_EVT_SYRINGE_PRESSURE_DISC",,"3","628","197236","",
_MDC_ATTR_AL_COND_DELETED," ","MDC_EVT_HANDSET_DETACHED",,"3","746","197354","",
_MDC_INFUS_EVENT," infusion-event-start",,,,,,"","IP-NA-CAT-15"
_MDC_INFUS_EVENT," infusion-event-stop",,,,,,"","IP-NA-CAT-15"
_MDC_INFUS_EVENT," infusion-event-vtbi-complete",,,,,,"","IP-NA-CAT-15"
," pump-mode-nominal",,,,,,"",
," pump-mode-drug-dosing",," 7",,,,"",
_MDC_PUMP_MODE," pump-mode-ramp-taper",," 9",,,,"",""
_MDC_PUMP_MODE," pump-mode-multi-step",," 4",,,,"",""
_MDC_PUMP_MODE," pump-mode-multi-dosing",," 8",,,,"",""
_MDC_PUMP_MODE," pump-mode-loading-dose",," 14",,,,"",""
," pump-mode-multi-channel",,,,,,"",
," pump-mode-pca",,,,,,"",
_MDC_PUMP_MODE," pump-mode-continuous",," 15",,,,"",""
_MDC_PUMP_MODE," pump-mode-piggyback",," 16",,,,"",""
_MDC_PUMP_MODE," pump-mode-concurrent",," 20",,,,"",""
," pump-status-ready",,,,,,"",
_MDC_PUMP_STAT," pump-status-infusing",,,,,,"","ds-ip-rel_2.0"
," pump-status-paused",,,,,,"",
," pump-status-kvo",,,,,,"",""
," pump-status-delayed",,,,,,"",
," pump-status-standby",,,,,,"",
," pump-status-vtbi-complete",,,,,,"",
," pump-status-off",,,,,,"",
," pump-status-priming ",,,,,,"",
_BODY_SITE_NBP_BP," ","MDC_UPEXT_ARM_UPPER_L",,"7","1781","460533","Left Upper Arm",
_BODY_SITE_NBP_BP," ","MDC_UPEXT_ARM_UPPER_R",,"7","1782","460534","Right Upper Arm",
_BODY_SITE_NBP_BP," ","MDC_LOEXT_LEG_L",,"7","1605","460357","Left Leg",
_BODY_SITE_NBP_BP," ","MDC_LOEXT_LEG_R",,"7","1606","460358","Right Leg",
_BODY_SITE_PR," ","MDC_BS_QUAL_LEFT",,"7","8194","466946","Left - General",
_BODY_SITE_PR," ","MDC_BS_QUAL_RIGHT",,"7","8196","466948","Right - General",
_BODY_SITE_TEMP," ","MDC_HEAD_MOUTH",,"7","1540","460292","Oral",
_BODY_SITE_TEMP," ","MDC_UPEXT_AXILLA",,"7","1740","460492","Axillary",
_BODY_SITE_TEMP," ","MDC_TRUNK_BUTTOCK",,"7","1668","460420","Rectal",
_BODY_SITE_TEMP _BODY_SITE_SPO2," ","MDC_HEAD_EAR",,"7","1520","460272","Tympanic",
